分组,TeamA,TeamB,开始时间(UTC+8),结束时间(UTC+8),备注,开始时间(UTC),结束时间(UTC)
A组,墨西哥,南非,2026-06-12T03:00:00Z,2026-06-12T05:00:00Z,,2026-06-11T19:00:00Z,2026-06-11T21:00:00Z
A组,韩国,欧洲附加赛D胜者,2026-06-12T10:00:00Z,2026-06-12T12:00:00Z,,2026-06-12T02:00:00Z,2026-06-12T04:00:00Z
B组,加拿大,欧洲附加赛A胜者,2026-06-13T03:00:00Z,2026-06-13T05:00:00Z,,2026-06-12T19:00:00Z,2026-06-12T21:00:00Z
D组,美国,巴拉圭,2026-06-13T09:00:00Z,2026-06-13T11:00:00Z,,2026-06-13T01:00:00Z,2026-06-13T03:00:00Z
B组,卡塔尔,瑞士,2026-06-14T03:00:00Z,2026-06-14T05:00:00Z,,2026-06-13T19:00:00Z,2026-06-13T21:00:00Z
C组,巴西,摩洛哥,2026-06-14T06:00:00Z,2026-06-14T08:00:00Z,,2026-06-13T22:00:00Z,2026-06-14T00:00:00Z
C组,海地,苏格兰,2026-06-14T09:00:00Z,2026-06-14T11:00:00Z,,2026-06-14T01:00:00Z,2026-06-14T03:00:00Z
D组,澳大利亚,欧洲附加赛C胜者,2026-06-14T12:00:00Z,2026-06-14T14:00:00Z,,2026-06-14T04:00:00Z,2026-06-14T06:00:00Z
E组,德国,库拉索,2026-06-15T01:00:00Z,2026-06-15T03:00:00Z,,2026-06-14T17:00:00Z,2026-06-14T19:00:00Z
F组,荷兰,日本,2026-06-15T04:00:00Z,2026-06-15T06:00:00Z,,2026-06-14T20:00:00Z,2026-06-14T22:00:00Z
E组,科特迪瓦,厄瓜多尔,2026-06-15T07:00:00Z,2026-06-15T09:00:00Z,,2026-06-14T23:00:00Z,2026-06-15T01:00:00Z
F组,欧洲附加赛B胜者,突尼斯,2026-06-15T10:00:00Z,2026-06-15T12:00:00Z,,2026-06-15T02:00:00Z,2026-06-15T04:00:00Z
H组,西班牙,佛得角,2026-06-16T00:00:00Z,2026-06-16T02:00:00Z,,2026-06-15T16:00:00Z,2026-06-15T18:00:00Z
G组,比利时,埃及,2026-06-16T03:00:00Z,2026-06-16T05:00:00Z,,2026-06-15T19:00:00Z,2026-06-15T21:00:00Z
H组,沙特阿拉伯,乌拉圭,2026-06-16T06:00:00Z,2026-06-16T08:00:00Z,,2026-06-15T22:00:00Z,2026-06-16T00:00:00Z
G组,伊朗,新西兰,2026-06-16T09:00:00Z,2026-06-16T11:00:00Z,,2026-06-16T01:00:00Z,2026-06-16T03:00:00Z
I组,法国,塞内加尔,2026-06-17T03:00:00Z,2026-06-17T05:00:00Z,,2026-06-16T19:00:00Z,2026-06-16T21:00:00Z
I组,洲际附加赛2胜者,挪威,2026-06-17T06:00:00Z,2026-06-17T08:00:00Z,,2026-06-16T22:00:00Z,2026-06-17T00:00:00Z
J组,阿根廷,阿尔及利亚,2026-06-17T09:00:00Z,2026-06-17T11:00:00Z,,2026-06-17T01:00:00Z,2026-06-17T03:00:00Z
